"evidence","login","id","savingTime","clientTime","uxLang","parameter","recommendedId","recommendedVideoId","recommendedAuthor","recommendedTitle","recommendedLength","recommendedDisplayL","recommendedLengthText","recommendedPubTime","recommendedRelativeS","recommendedViews","recommendedForYou","recommendedVerified","recommendationOrder","recommendedKind","watchedVideoId","watchedTitle","watchedAuthor","watchedChannel","watchedPubTime","watchedViews","watchedLike","watchedDislike","hoursOffset","experiment","pseudonym","step","top20","isAPItoo","thumbnail","qualitative"
10,"true","c8eecebbdcd9badcafdc",2020-03-26T21:33:58.071Z,2020-03-27T02:45:01.000Z,"es","","c79ef7d0f9cc074da6b88902ba9651308b2618c9","E8evf10Iwbg","ProTrainings UK","Coronavirus Signs and Symptoms",6360,"1:46","106 segundos",2020-03-20T02:45:01.000Z,604800,40609,"true","true",11,"video","A2kiXc5XEdU","How do I know if I have coronavirus? - BBC News","BBC News","/user/bbcnews",2020-03-21T00:00:00.000Z,682214,6331,223,47,"wetest1","nachos-taco-manicotti","English","true","true","https://i.ytimg.com/vi/E8evf10Iwbg/mqdefault.jpg","relevant"
11,"true","c8eecebbdcd9badcafdc",2020-03-26T21:33:58.071Z,2020-03-27T02:45:01.000Z,"es","","76d2d240d99324c339941678daa9830d46987de9","2JsWf-2nN1Y","Guardian News","Coronavirus: how do I know if I’m infected and what happens next?",7800,"2:10","2 minutos y 10 segundos",2020-03-21T02:45:01.000Z,518400,1034,"false","true",12,"video","A2kiXc5XEdU","How do I know if I have coronavirus? - BBC News","BBC News","/user/bbcnews",2020-03-21T00:00:00.000Z,682214,6331,223,47,"wetest1","nachos-taco-manicotti","English","true","true","https://i.ytimg.com/vi/2JsWf-2nN1Y/mqdefault.jpg","relevant"
12,"true","c8eecebbdcd9badcafdc",2020-03-26T21:33:58.071Z,2020-03-27T02:45:01.000Z,"es","","944bf8a01f59559c71e246b1d134b622245b3d0a","Zi_XLOBDo_Y","Michael Jackson","Michael Jackson - Billie Jean (Official Video)",17760,"4:56","4 minutos y 56 segundos",2010-03-27T02:45:01.000Z,315532800,759617,"true","true",13,"video","A2kiXc5XEdU","How do I know if I have coronavirus? - BBC News","BBC News","/user/bbcnews",2020-03-21T00:00:00.000Z,682214,6331,223,47,"wetest1","nachos-taco-manicotti","English","true","false","https://i.ytimg.com/vi/Zi_XLOBDo_Y/mqdefault.jpg","off-topic"
13,"true","c8eecebbdcd9badcafdc",2020-03-26T21:33:58.071Z,2020-03-27T02:45:01.000Z,"es","","6f57edaec049e8940f8c9f724f2c333209cade72","vdx4Jo0GCRU","Sky News","Coronavirus: Italian city’s warning to the rest of the world",17580,"4:53","4 minutos y 53 segundos",2020-03-24T02:45:01.000Z,259200,2902,"false","true",14,"video","A2kiXc5XEdU","How do I know if I have coronavirus? - BBC News","BBC News","/user/bbcnews",2020-03-21T00:00:00.000Z,682214,6331,223,47,"wetest1","nachos-taco-manicotti","English","true","false","https://i.ytimg.com/vi/vdx4Jo0GCRU/mqdefault.jpg","relevant"
14,"true","c8eecebbdcd9badcafdc",2020-03-26T21:33:58.071Z,2020-03-27T02:45:01.000Z,"es","","737ca9a090ef1af4550f41a8206ad3c16c36ad78","G9oqvJ3iXGI","Channel 4 News","Coronavirus survivor reveals what it’s like to have Covid-19",29460,"8:11","8 minutos y 11 segundos",2020-03-13T02:45:01.000Z,1209600,10218,"false","true",15,"video","A2kiXc5XEdU","How do I know if I have coronavirus? - BBC News","BBC News","/user/bbcnews",2020-03-21T00:00:00.000Z,682214,6331,223,47,"wetest1","nachos-taco-manicotti","English","true","false","https://i.ytimg.com/vi/G9oqvJ3iXGI/mqdefault.jpg","relevant"
15,"true","c8eecebbdcd9badcafdc",2020-03-26T21:33:58.071Z,2020-03-27T02:45:01.000Z,"es","","b94379aa313b2d5cde419f72002a273008b879f6","1APwq1df6Mw","World Health Organization (WHO)","How to protect yourself against COVID-19",5460,"1:31","91 segundos",2020-03-06T02:45:01.000Z,1814400,2819,"false","true",16,"video","A2kiXc5XEdU","How do I know if I have coronavirus? - BBC News","BBC News","/user/bbcnews",2020-03-21T00:00:00.000Z,682214,6331,223,47,"wetest1","nachos-taco-manicotti","English","true","false","https://i.ytimg.com/vi/1APwq1df6Mw/mqdefault.jpg","relevant"
16,"true","c8eecebbdcd9badcafdc",2020-03-26T21:33:58.071Z,2020-03-27T02:45:01.000Z,"es","","1ee451134bf8c9a80e08cd5830d20b01b2d584ad","T7TGH2rO9-Y","TRT World","My coronavirus story: a survivor shares her story",19680,"5:28","5 minutos y 28 segundos",2020-03-20T02:45:01.000Z,604800,520010,"false","true",17,"video","A2kiXc5XEdU","How do I know if I have coronavirus? - BBC News","BBC News","/user/bbcnews",2020-03-21T00:00:00.000Z,682214,6331,223,47,"wetest1","nachos-taco-manicotti","English","true","true","https://i.ytimg.com/vi/T7TGH2rO9-Y/mqdefault.jpg","relevant"
17,"true","c8eecebbdcd9badcafdc",2020-03-26T21:33:58.071Z,2020-03-27T02:45:01.000Z,"es","","d646263a0ee77fd741f64ed3c47ee6ea8dd570be","ek3T8xiu1Fw","CNBC","The Race To Develop A Coronavirus Vaccine",36900,"10:15","10 minutos y 15 segundos",2020-03-20T02:45:01.000Z,604800,3499,"false","true",18,"video","A2kiXc5XEdU","How do I know if I have coronavirus? - BBC News","BBC News","/user/bbcnews",2020-03-21T00:00:00.000Z,682214,6331,223,47,"wetest1","nachos-taco-manicotti","English","true","false","https://i.ytimg.com/vi/ek3T8xiu1Fw/mqdefault.jpg","relevant"
18,"true","c8eecebbdcd9badcafdc",2020-03-26T21:33:58.071Z,2020-03-27T02:45:01.000Z,"es","","90871b441b0457dfebb354f9f3c09189b1ff9665","z2KpsZRpoZ8","The New York Times","‘Brace Yourself’: Doctors in Italy Share Coronavirus Advice | NYT News",16740,"4:39","4 minutos y 39 segundos",2020-03-24T02:45:01.000Z,259200,1831,"false","true",19,"video","A2kiXc5XEdU","How do I know if I have coronavirus? - BBC News","BBC News","/user/bbcnews",2020-03-21T00:00:00.000Z,682214,6331,223,47,"wetest1","nachos-taco-manicotti","English","true","false","https://i.ytimg.com/vi/z2KpsZRpoZ8/mqdefault.jpg","relevant"
19,"true","c8eecebbdcd9badcafdc",2020-03-26T21:33:58.071Z,2020-03-27T02:45:01.000Z,"es","","2193549a429414feb8eb8f914bfbb89f6a3c8c51","Z3i1qyZOumc","TIME","Watch Live: President Trump and Coronavirus Task Force Hold Press Briefing | TIME","","","",2020-03-26T17:45:01.000Z,32400,19827,"false","true",20,"live","A2kiXc5XEdU","How do I know if I have coronavirus? - BBC News","BBC News","/user/bbcnews",2020-03-21T00:00:00.000Z,682214,6331,223,47,"wetest1","nachos-taco-manicotti","English","true","false","https://i.ytimg.com/vi/Z3i1qyZOumc/mqdefault.jpg","relevant"
20,"true","c8eecebbdcd9badcafdc",2020-03-26T21:33:58.071Z,2020-03-27T02:45:01.000Z,"es","","b6355cdca93e072c2fa684006275c8348eafb679","qcT_IPrEvl0","ITV News","Coronavirus: Positive signs for Italy but situation in Spain worsens | ITV News",8040,"2:14","2 minutos y 14 segundos",2020-03-25T02:45:01.000Z,172800,874618,"false","true",21,"video","A2kiXc5XEdU","How do I know if I have coronavirus? - BBC News","BBC News","/user/bbcnews",2020-03-21T00:00:00.000Z,682214,6331,223,47,"wetest1","nachos-taco-manicotti","English","false","false","https://i.ytimg.com/vi/qcT_IPrEvl0/mqdefault.jpg","relevant"
21,"true","c8eecebbdcd9badcafdc",2020-03-26T21:33:58.071Z,2020-03-27T02:45:01.000Z,"es","","323e95b7507caed45feb6243a84929f804da09bd","tbAYN9zKIJQ","Good Morning Britain","Coronavirus Survivor Describes His Experience | Good Morning Britain",18360,"5:06","5 minutos y 6 segundos",2020-03-24T02:45:01.000Z,259200,357720,"false","true",22,"video","A2kiXc5XEdU","How do I know if I have coronavirus? - BBC News","BBC News","/user/bbcnews",2020-03-21T00:00:00.000Z,682214,6331,223,47,"wetest1","nachos-taco-manicotti","English","false","true","https://i.ytimg.com/vi/tbAYN9zKIJQ/mqdefault.jpg","relevant"
22,"true","c8eecebbdcd9badcafdc",2020-03-26T21:33:58.071Z,2020-03-27T02:45:01.000Z,"es","","af92e2782655bb2b8cb78dca9b24d269f62edccc","dSQztKXR6k0","Vox","Why fighting the coronavirus depends on you",23400,"6:30","6 minutos y 30 segundos",2020-03-20T02:45:01.000Z,604800,6051,"false","true",23,"video","A2kiXc5XEdU","How do I know if I have coronavirus? - BBC News","BBC News","/user/bbcnews",2020-03-21T00:00:00.000Z,682214,6331,223,47,"wetest1","nachos-taco-manicotti","English","false","false","https://i.ytimg.com/vi/dSQztKXR6k0/mqdefault.jpg","relevant"
23,"true","c8eecebbdcd9badcafdc",2020-03-26T21:33:58.071Z,2020-03-27T02:45:01.000Z,"es","","6b786ab7a60a61176a043943b2b9106d57dfbd30","DBgdxv9WQ_k","Guardian News","Coronavirus: US task force deliver daily briefing at White House – watch live","","","",2020-03-26T14:45:01.000Z,43200,2313,"false","true",24,"live","A2kiXc5XEdU","How do I know if I have coronavirus? - BBC News","BBC News","/user/bbcnews",2020-03-21T00:00:00.000Z,682214,6331,223,47,"wetest1","nachos-taco-manicotti","English","false","false","https://i.ytimg.com/vi/DBgdxv9WQ_k/mqdefault.jpg","relevant"
24,"true","c8eecebbdcd9badcafdc",2020-03-26T21:33:58.071Z,2020-03-27T02:45:01.000Z,"es","","0ff7da51e22cc815f382d911074457f82b3fbc82","tmCjJsVCPlI","USA TODAY","White House addresses coronavirus as unemployment claims hit record high (LIVE) | USA TODAY","","","",2020-03-26T21:45:01.000Z,18000,3550,"false","true",25,"live","A2kiXc5XEdU","How do I know if I have coronavirus? - BBC News","BBC News","/user/bbcnews",2020-03-21T00:00:00.000Z,682214,6331,223,47,"wetest1","nachos-taco-manicotti","English","false","false","https://i.ytimg.com/vi/tmCjJsVCPlI/mqdefault.jpg","relevant"
25,"true","c8eecebbdcd9badcafdc",2020-03-26T21:33:58.071Z,2020-03-27T02:45:01.000Z,"es","","362427c834fa44d2c17c9ac2681d15796023d174","tlM8pPotJQQ","The Infographics Show","Why Spanish Flu Killed Over 50 Million People - Deadliest Plague in Modern History",41400,"11:30","11 minutos y 30 segundos",2020-03-23T02:45:01.000Z,345600,642555,"false","true",26,"video","A2kiXc5XEdU","How do I know if I have coronavirus? - BBC News","BBC News","/user/bbcnews",2020-03-21T00:00:00.000Z,682214,6331,223,47,"wetest1","nachos-taco-manicotti","English","false","false","https://i.ytimg.com/vi/tlM8pPotJQQ/mqdefault.jpg","linked"
26,"true","c8eecebbdcd9badcafdc",2020-03-26T21:33:58.071Z,2020-03-27T02:45:01.000Z,"es","","26074e30d31db3f8dc887aa131a1191805b18a74","Wak8UQebNDs","CBS This Morning","Coronavirus patients describe symptoms, battle for recovery",19200,"5:20","5 minutos y 20 segundos",2020-03-20T02:45:01.000Z,604800,1920,"false","true",27,"video","A2kiXc5XEdU","How do I know if I have coronavirus? - BBC News","BBC News","/user/bbcnews",2020-03-21T00:00:00.000Z,682214,6331,223,47,"wetest1","nachos-taco-manicotti","English","false","false","https://i.ytimg.com/vi/Wak8UQebNDs/mqdefault.jpg","relevant"
27,"true","c8eecebbdcd9badcafdc",2020-03-26T21:33:58.071Z,2020-03-27T02:45:01.000Z,"es","","00cd414347a78c73109867cfb28ab528b78aebb4","bE68xVXf8Kw","The New York Times","‘People Are Dying’: Battling Coronavirus Inside a N.Y.C. Hospital | NYT News",20040,"5:34","5 minutos y 34 segundos",2020-03-26T18:45:01.000Z,28800,708227,"false","true",28,"video","A2kiXc5XEdU","How do I know if I have coronavirus? - BBC News","BBC News","/user/bbcnews",2020-03-21T00:00:00.000Z,682214,6331,223,47,"wetest1","nachos-taco-manicotti","English","false","false","https://i.ytimg.com/vi/bE68xVXf8Kw/mqdefault.jpg","relevant"
28,"true","c8eecebbdcd9badcafdc",2020-03-26T21:33:58.071Z,2020-03-27T02:45:01.000Z,"es","","5cf9ac89c96c232a1cf2048d4e0485a96bf15a48","uOruI8Rs0pg","Fox News","Live: President Trump, Coronavirus Task Force hold White House briefing","","","",2020-03-26T07:45:01.000Z,68400,21080,"false","true",29,"live","A2kiXc5XEdU","How do I know if I have coronavirus? - BBC News","BBC News","/user/bbcnews",2020-03-21T00:00:00.000Z,682214,6331,223,47,"wetest1","nachos-taco-manicotti","English","false","false","https://i.ytimg.com/vi/uOruI8Rs0pg/mqdefault.jpg","relevant"
29,"true","c8eecebbdcd9badcafdc",2020-03-26T21:33:58.071Z,2020-03-27T02:45:01.000Z,"es","","3a51c9e055fe4147cebee2c1ada685b5ed23aa43","YH1dDBKbKUg","China Uncensored","Coronavirus: China May See a 2nd Wave of Infections",30300,"8:25","8 minutos y 25 segundos",2020-03-22T02:45:01.000Z,432000,916850,"false","true",30,"video","A2kiXc5XEdU","How do I know if I have coronavirus? - BBC News","BBC News","/user/bbcnews",2020-03-21T00:00:00.000Z,682214,6331,223,47,"wetest1","nachos-taco-manicotti","English","false","true","https://i.ytimg.com/vi/YH1dDBKbKUg/mqdefault.jpg","relevant"
30,"true","c8eecebbdcd9badcafdc",2020-03-26T21:33:58.071Z,2020-03-27T02:45:01.000Z,"es","","96aec157fef18335866f940c0a71fd88538624c1","agvHuHugb0k","The Daily Show with Trevor Noah","Trump’s Bulls**t Corona Cure & Sad Spring Breakers | The Daily Social Distancing Show",43020,"11:57","11 minutos y 57 segundos",2020-03-21T02:45:01.000Z,518400,4490,"false","true",31,"video","A2kiXc5XEdU","How do I know if I have coronavirus? - BBC News","BBC News","/user/bbcnews",2020-03-21T00:00:00.000Z,682214,6331,223,47,"wetest1","nachos-taco-manicotti","English","false","false","https://i.ytimg.com/vi/agvHuHugb0k/mqdefault.jpg","linked"
31,"true","c8eecebbdcd9badcafdc",2020-03-26T21:33:58.071Z,2020-03-27T02:45:01.000Z,"es","","35f390c56a83d7bdef62b377cb58155435fc899a","qNkjJHliMZo","BBC News","Coronavirus: Do face masks work? - BBC News",10320,"2:52","2 minutos y 52 segundos",2020-03-23T02:45:01.000Z,345600,487546,"false","true",32,"video","A2kiXc5XEdU","How do I know if I have coronavirus? - BBC News","BBC News","/user/bbcnews",2020-03-21T00:00:00.000Z,682214,6331,223,47,"wetest1","nachos-taco-manicotti","English","false","true","https://i.ytimg.com/vi/qNkjJHliMZo/mqdefault.jpg","relevant"
32,"true","c8eecebbdcd9badcafdc",2020-03-26T21:33:58.071Z,2020-03-27T02:45:01.000Z,"es","","50db7b4b7b96271bdfe9acc5d79294e4479fff67","7Orjss318Io","The Daily Show with Trevor Noah","Trevor’s Extended Thoughts on Trump’s Initial Response to Coronavirus  | The Daily Show",41460,"11:31","11 minutos y 31 segundos",2020-03-20T02:45:01.000Z,604800,2577,"false","true",33,"video","A2kiXc5XEdU","How do I know if I have coronavirus? - BBC News","BBC News","/user/bbcnews",2020-03-21T00:00:00.000Z,682214,6331,223,47,"wetest1","nachos-taco-manicotti","English","false","false","https://i.ytimg.com/vi/7Orjss318Io/mqdefault.jpg","relevant"
33,"true","c8eecebbdcd9badcafdc",2020-03-26T21:33:58.071Z,2020-03-27T02:45:01.000Z,"es","","e2b9eb82cb36fbc8445f42a63f9f7b8c93e65292","DSuwaZEF9ZY","BBC News","Coronavirus: How bad is the situation in Europe? - BBC News",79860,"22:11","22 minutos",2020-03-21T02:45:01.000Z,518400,3435,"false","true",34,"video","A2kiXc5XEdU","How do I know if I have coronavirus? - BBC News","BBC News","/user/bbcnews",2020-03-21T00:00:00.000Z,682214,6331,223,47,"wetest1","nachos-taco-manicotti","English","false","false","https://i.ytimg.com/vi/DSuwaZEF9ZY/mqdefault.jpg","relevant"
34,"true","c8eecebbdcd9badcafdc",2020-03-26T21:33:58.071Z,2020-03-27T02:45:01.000Z,"es","","a4337300bfe4a867c25ee4fb06780641147d9ec1","-42A0q4QKjg","CBS Evening News","How close are we to finding a coronavirus treatment?",9780,"2:43","2 minutos y 43 segundos",2020-03-22T02:45:01.000Z,432000,436824,"false","true",35,"video","A2kiXc5XEdU","How do I know if I have coronavirus? - BBC News","BBC News","/user/bbcnews",2020-03-21T00:00:00.000Z,682214,6331,223,47,"wetest1","nachos-taco-manicotti","English","false","false","https://i.ytimg.com/vi/-42A0q4QKjg/mqdefault.jpg","relevant"
35,"true","c8eecebbdcd9badcafdc",2020-03-26T21:33:58.071Z,2020-03-27T02:45:01.000Z,"es","","680b597eff16917807d2cdf5ba10655411a7b321","en7WdN5_6MI","DW News","How will the Coronavirus change global politics? | DW Analysis",82020,"22:47","22 minutos",2020-03-20T02:45:01.000Z,604800,249452,"false","true",36,"video","A2kiXc5XEdU","How do I know if I have coronavirus? - BBC News","BBC News","/user/bbcnews",2020-03-21T00:00:00.000Z,682214,6331,223,47,"wetest1","nachos-taco-manicotti","English","false","false","https://i.ytimg.com/vi/en7WdN5_6MI/mqdefault.jpg","relevant"
36,"true","c8eecebbdcd9badcafdc",2020-03-26T21:33:58.071Z,2020-03-27T02:45:01.000Z,"es","","335ad8ad1a527e882749f300f1cf5289ab76020d","25FXVWqg5C4","DW News","Coronavirus update: Spain rushes to build hospitals as cases surge | DW News",18720,"5:12","5 minutos y 12 segundos",2020-03-23T02:45:01.000Z,345600,1689,"false","true",37,"video","A2kiXc5XEdU","How do I know if I have coronavirus? - BBC News","BBC News","/user/bbcnews",2020-03-21T00:00:00.000Z,682214,6331,223,47,"wetest1","nachos-taco-manicotti","English","false","false","https://i.ytimg.com/vi/25FXVWqg5C4/mqdefault.jpg","relevant"
37,"true","c8eecebbdcd9badcafdc",2020-03-26T21:33:58.071Z,2020-03-27T02:45:01.000Z,"es","","caf2ae8083fe37b990c3bb93a974d059a2ea544d","SgU99jx6ghc","London Real","EVERYTHING IS CORONAVIRUS! Will Covid-19 Destroy The World Economy As We Know It? | David Icke",15300,"4:15","4 minutos y 15 segundos",2020-03-22T02:45:01.000Z,432000,99168,"false","true",38,"video","A2kiXc5XEdU","How do I know if I have coronavirus? - BBC News","BBC News","/user/bbcnews",2020-03-21T00:00:00.000Z,682214,6331,223,47,"wetest1","nachos-taco-manicotti","English","false","false","https://i.ytimg.com/vi/SgU99jx6ghc/mqdefault.jpg","relevant"
38,"true","c8eecebbdcd9badcafdc",2020-03-26T21:33:58.071Z,2020-03-27T02:45:01.000Z,"es","","85a043bc42e6358b9dfdc2d644c84bbe32d6ae78","6sOUg4Tg6kE","UrduPoint.com","What Is The Difference Between Normal Flu & Coronavirus? | Watch Important Video",31320,"8:42","8 minutos y 42 segundos",2020-03-20T02:45:01.000Z,604800,367847,"false","true",39,"video","A2kiXc5XEdU","How do I know if I have coronavirus? - BBC News","BBC News","/user/bbcnews",2020-03-21T00:00:00.000Z,682214,6331,223,47,"wetest1","nachos-taco-manicotti","English","false","true","https://i.ytimg.com/vi/6sOUg4Tg6kE/mqdefault.jpg","relevant"
39,"true","c8eecebbdcd9badcafdc",2020-03-26T21:33:58.071Z,2020-03-27T02:45:01.000Z,"es","","bb913589e5004166787d2e72fc29acbcbf23898d","F8aueQXQ2H4","MSNBC","First Person To Test Coronavirus Vaccine Speaks Out | The Beat With Ari Melber | MSNBC",26040,"7:14","7 minutos y 14 segundos",2020-03-20T02:45:01.000Z,604800,1090,"false","true",40,"video","A2kiXc5XEdU","How do I know if I have coronavirus? - BBC News","BBC News","/user/bbcnews",2020-03-21T00:00:00.000Z,682214,6331,223,47,"wetest1","nachos-taco-manicotti","English","false","false","https://i.ytimg.com/vi/F8aueQXQ2H4/mqdefault.jpg","relevant"
0,"false","ddf88c9e9eeff9fbbbcdee",2020-03-26T20:51:17.916Z,2020-03-26T21:02:27.000Z,"en","","ac0fc7e4de6a0598aa50b858d061497aeb73d380","BtN-goy9VOY","Kurzgesagt – In a Nutshell","The Coronavirus Explained & What You Should Do",30900,"8:35","8 minutes, 35 seconds",2020-03-19T21:02:57.000Z,604800,17828,"true","true",1,"video","A2kiXc5XEdU","How do I know if I have coronavirus? - BBC News","BBC News","/user/bbcnews",2020-03-21T00:00:00.000Z,680728,6327,222,46,"wetest1","milk-okra-cake","English","true","true","https://i.ytimg.com/vi/BtN-goy9VOY/mqdefault.jpg","relevant"
1,"false","ddf88c9e9eeff9fbbbcdee",2020-03-26T20:51:17.916Z,2020-03-26T21:02:27.000Z,"en","","e100b7a5b96660ad508e4b0a9bd08edf1e23625d","fiCz6P2N3VQ","DB Live","din bhar ki khabar | news of the day, hindi news india | top news | latest news | modi #DBLIVE",63720,"17:42","17 minutes",2020-03-23T21:02:57.000Z,259200,446334,"true","true",2,"video","A2kiXc5XEdU","How do I know if I have coronavirus? - BBC News","BBC News","/user/bbcnews",2020-03-21T00:00:00.000Z,680728,6327,222,46,"wetest1","milk-okra-cake","English","true","false","https://i.ytimg.com/vi/fiCz6P2N3VQ/mqdefault.jpg","relevant"
